,id_aeroporto,data,A_data,A_effettoSulVolo,id_specie_volatile_a,id_gruppo,A_numeroVolatiliColpiti,A_partiColpite
0,7,2011-02-16 00:00:00,,Nessuno,38,8.0,1.0,Wing/Rotor
4,7,2011-03-11 00:00:00,,Nessuno,476,9.0,1.0,
7,7,2011-03-23 00:00:00,,,1,4.0,1.0,Landing Gear
13,7,2011-04-29 00:00:00,2011-04-29 23:30:00,Nessuno,12,11.0,1.0,Wing/Rotor
53,7,2011-07-09 00:00:00,2011-07-09 18:30:00,Nessuno,7,6.0,1.0,Radome
54,7,2011-07-11 00:00:00,2011-07-11 08:20:00,Nessuno,14,12.0,1.0,Nose
60,7,2011-06-30 00:00:00,2011-06-30 07:50:00,Atterraggio precauzionale,25,13.0,1.0,Nose
61,7,2011-06-27 00:00:00,2011-06-27 11:20:00,Nessuno,25,13.0,1.0,Radome
68,7,2011-07-15 00:00:00,2011-07-15 05:50:00,Nessuno,2,7.0,1.0,Engine 2
69,7,2011-07-05 00:00:00,2011-07-05 18:10:00,Nessuno,25,13.0,1.0,Nose
74,7,2011-08-05 00:00:00,,Nessuno,12,11.0,1.0,
135,7,2011-09-12 00:00:00,2011-09-12 19:25:00,Nessuno,25,13.0,,Nose
136,7,2011-09-20 00:00:00,2011-09-20 20:10:00,Nessuno,25,13.0,1.0,Wing/Rotor
217,7,2011-11-15 00:00:00,2011-11-15 10:30:00,Nessuno,36,5.0,2.0,Engine 1
220,7,2011-10-23 00:00:00,2011-10-23 19:15:00,Nessuno,25,13.0,1.0,Nose
221,7,2011-10-29 00:00:00,2011-10-29 09:30:00,Nessuno,25,13.0,1.0,Wing/Rotor
222,7,2011-09-24 00:00:00,2011-09-24 19:45:00,Nessuno,25,13.0,1.0,Radome
261,7,2012-03-23 00:00:00,2012-03-23 21:43:00,Atterraggio precauzionale,25,13.0,,"Radome,Engine 1"
271,7,2012-04-23 00:00:00,2012-04-05 22:40:00,Nessuno,58,4.0,1.0,"Engine 1,Wing/Rotor,Landing Gear"
272,7,2012-04-21 00:00:00,2012-04-21 11:25:00,Nessuno,25,13.0,1.0,Wing/Rotor
273,7,2012-04-21 00:00:00,2012-04-21 16:45:00,Nessuno,25,13.0,1.0,Landing Gear
275,7,2012-05-01 00:00:00,2012-05-01 07:15:00,Decollo abortito,11,13.0,2.0,"Windshield,Fuselage"
280,7,2012-05-09 00:00:00,2012-04-26 12:00:00,Altro (specificare),14,12.0,1.0,Nose
296,7,2012-05-24 00:00:00,2012-05-24 00:00:00,Nessuno,25,13.0,,Engine 1
393,7,2012-07-22 00:00:00,2012-07-22 11:02:00,Nessuno,14,12.0,1.0,Engine 1
407,7,2012-08-23 00:00:00,2012-08-23 10:30:00,Nessuno,14,12.0,1.0,
429,7,2012-09-04 00:00:00,2012-09-04 10:50:00,Nessuno,14,12.0,1.0,Nose
453,7,2012-09-28 00:00:00,2012-09-28 17:19:00,Nessuno,2,7.0,5.0,"Wing/Rotor,Tail"
465,7,2012-10-09 00:00:00,,Nessuno,7,6.0,1.0,Engine 2
466,7,2012-10-09 00:00:00,2012-10-09 14:43:00,Nessuno,7,6.0,1.0,Windshield
475,7,2012-09-14 00:00:00,2012-09-14 20:02:00,Nessuno,25,13.0,1.0,Wing/Rotor
481,7,2012-10-27 00:00:00,2012-10-27 10:35:00,Nessuno,38,8.0,1.0,Radome
486,7,2012-10-22 00:00:00,2012-10-22 22:03:00,Nessuno,25,13.0,1.0,Engine 2
489,7,2012-11-09 00:00:00,2012-09-28 17:18:00,Nessuno,2,7.0,6.0,"Nose,Engine 1,Engine 2"
495,7,2012-11-11 00:00:00,2012-11-11 15:48:00,,25,13.0,1.0,"Radome,Engine 2"
496,7,2012-11-28 00:00:00,2012-11-28 10:20:00,Nessuno,38,8.0,1.0,Windshield
503,7,2012-12-15 00:00:00,2012-12-15 09:00:00,Nessuno,38,8.0,1.0,Engine 2
529,7,2013-03-22 00:00:00,2013-03-22 11:31:00,Nessuno,25,13.0,1.0,Wing/Rotor
538,7,2013-04-28 00:00:00,2013-04-28 11:50:00,Nessuno,2,7.0,1.0,Engine 2
584,7,2013-07-13 00:00:00,2013-06-16 09:52:00,Nessuno,25,13.0,1.0,Nose
594,7,2013-07-22 00:00:00,2013-07-22 18:52:00,Nessuno,25,13.0,,
624,7,2013-08-09 00:00:00,2013-08-09 09:45:00,Nessuno,25,13.0,4.0,Wing/Rotor
626,7,2013-08-13 00:00:00,2013-07-13 11:52:00,Nessuno,25,13.0,1.0,
634,7,2013-08-19 00:00:00,2013-08-19 06:10:00,Nessuno,7,6.0,1.0,Radome
635,7,2013-08-19 00:00:00,2013-08-19 19:00:00,Nessuno,25,13.0,,"Nose,Engine 2"
645,7,2013-09-08 00:00:00,2013-08-07 19:27:00,Nessuno,14,12.0,1.0,Nose
646,7,2013-09-08 00:00:00,2013-08-11 09:10:00,Nessuno,25,13.0,1.0,Engine 2
647,7,2013-09-09 00:00:00,2013-08-20 07:20:00,Nessuno,25,13.0,1.0,
648,7,2013-09-09 00:00:00,2013-08-15 14:55:00,Nessuno,25,13.0,1.0,Radome
658,7,2013-09-18 00:00:00,2013-09-14 10:50:00,Atterraggio precauzionale,25,13.0,1.0,Engine 1
660,7,2013-09-18 00:00:00,2013-09-10 06:27:00,Nessuno,7,6.0,1.0,
665,7,2013-09-23 00:00:00,2013-08-31 12:05:00,Nessuno,25,13.0,,Wing/Rotor
666,7,2013-09-22 00:00:00,2013-09-22 09:50:00,Nessuno,25,13.0,1.0,Wing/Rotor
668,7,2013-10-04 00:00:00,2013-10-04 15:20:00,Nessuno,1453,7.0,1.0,Engine 1
675,7,2013-10-17 00:00:00,2013-10-17 18:00:00,Nessuno,25,13.0,1.0,Nose
685,7,2013-09-04 00:00:00,2013-09-04 13:05:00,,25,13.0,1.0,Radome
716,7,2013-12-29 00:00:00,2013-12-29 16:15:00,,58,4.0,1.0,Landing Gear
