,id_aeroporto,data,C_data,A_effettoSulVolo,id_specie_volatile_c,id_gruppo,C_numeroVolatiliColpiti,C_partiColpite
40,7,2011-06-28 00:00:00,2011-06-28 19:40:00,,7,6.0,1.0,Nose
50,7,2011-07-09 00:00:00,2011-07-09 11:30:00,,4,3.0,1.0,Nose
51,7,2011-07-09 00:00:00,2011-07-09 18:30:00,Nessuno,7,6.0,,Nose
53,7,2011-07-11 00:00:00,2011-07-11 08:25:00,Nessuno,14,12.0,1.0,Windshield
56,7,2011-06-27 00:00:00,2011-06-27 11:20:00,Nessuno,2,7.0,,Nose
68,7,2011-07-10 00:00:00,2011-07-10 10:05:00,,2,7.0,1.0,Fuselage
72,7,2011-08-05 00:00:00,2011-08-04 22:20:00,Nessuno,12,11.0,1.0,
110,7,2011-08-04 00:00:00,2011-08-04 22:20:00,,48,11.0,1.0,
111,7,2011-08-20 00:00:00,2011-08-20 23:00:00,,25,13.0,1.0,Windshield
147,7,2011-09-24 00:00:00,2011-09-24 19:45:00,Nessuno,25,13.0,1.0,Radome
200,7,2012-06-08 00:00:00,2012-06-08 20:30:00,,13,12.0,,
262,7,2012-08-22 00:00:00,2012-08-09 10:12:00,,25,13.0,1.0,Nose
275,7,2012-09-02 00:00:00,2012-09-02 14:10:00,,961,14.0,1.0,Nose
278,7,2012-09-04 00:00:00,2012-09-04 10:54:00,Nessuno,14,12.0,1.0,Fuselage
292,7,2012-09-17 00:00:00,2012-09-17 14:36:00,,7,6.0,1.0,Nose
301,7,2012-10-09 00:00:00,2012-10-09 16:36:00,Nessuno,7,6.0,,Engine 1
302,7,2012-10-09 00:00:00,2012-10-09 14:43:00,Nessuno,25,13.0,,Nose
310,7,2012-10-27 00:00:00,2012-10-27 10:34:00,Nessuno,38,8.0,1.0,Nose
316,7,2012-11-09 00:00:00,2012-09-28 17:19:00,Nessuno,2,7.0,6.0,"Nose,Engine 1,Engine 2,Wing/Rotor"
320,7,2012-11-28 00:00:00,2012-11-28 10:20:00,Nessuno,38,8.0,1.0,Windshield
330,7,2013-01-13 00:00:00,2013-01-13 10:53:00,,25,13.0,1.0,Wing/Rotor
349,7,2013-04-27 00:00:00,2013-04-27 09:05:00,,15,15.0,1.0,Windshield
351,7,2013-04-16 00:00:00,2013-04-16 10:54:00,,14,12.0,,Windshield
367,7,2013-06-05 00:00:00,2013-05-02 17:35:00,,25,13.0,,"Engine 1,Propeller,Fuselage"
406,7,2013-07-13 00:00:00,2013-06-26 20:50:00,,14,12.0,1.0,Nose
414,7,2013-07-22 00:00:00,2013-07-22 18:55:00,Nessuno,14,12.0,1.0,
440,7,2013-08-09 00:00:00,2013-08-09 09:39:00,Nessuno,11,13.0,1.0,Windshield
