,id_aeroporto,data,D_data,A_effettoSulVolo,id_specie_volatile_d,id_gruppo,D_numeroVolatili
13,7,2011-02-16 00:00:00,2011-02-16 12:00:00,Nessuno,38,8.0,1.0
24,7,2011-03-11 00:00:00,2011-03-11 07:00:00,Nessuno,476,9.0,1.0
30,7,2011-03-23 00:00:00,2011-03-22 21:55:00,,1,4.0,1.0
37,7,2011-03-30 00:00:00,2011-03-30 09:30:00,,21,2.0,1.0
114,7,2011-05-21 00:00:00,2011-05-21 18:30:00,,14,12.0,1.0
116,7,2011-05-25 00:00:00,2011-05-25 13:05:00,,13,12.0,1.0
125,7,2011-06-04 00:00:00,2011-06-04 05:45:00,,13,12.0,1.0
127,7,2011-06-05 00:00:00,2011-06-05 12:00:00,,13,12.0,1.0
137,7,2011-06-11 00:00:00,2011-06-11 06:10:00,,13,12.0,1.0
147,7,2011-06-19 00:00:00,2011-06-19 06:00:00,,715,14.0,1.0
159,7,2011-06-28 00:00:00,2011-06-28 19:40:00,,7,6.0,1.0
193,7,2011-07-09 00:00:00,2011-07-09 09:30:00,,4,3.0,1.0
195,7,2011-07-09 00:00:00,2011-07-09 18:30:00,Nessuno,7,6.0,1.0
199,7,2011-07-11 00:00:00,2011-07-11 08:20:00,Nessuno,14,12.0,1.0
233,7,2011-07-20 00:00:00,2011-07-20 19:00:00,,7,6.0,1.0
234,7,2011-07-20 00:00:00,2011-07-20 19:00:00,,7,6.0,1.0
260,7,2011-07-30 00:00:00,2011-07-30 18:45:00,,3,3.0,3.0
267,7,2011-08-03 00:00:00,2011-08-03 15:15:00,,7,6.0,1.0
268,7,2011-08-05 00:00:00,2011-08-04 22:20:00,Nessuno,12,11.0,1.0
271,7,2011-08-07 00:00:00,2011-08-07 06:05:00,,1444,16.0,1.0
304,7,2011-08-13 00:00:00,2011-08-13 06:15:00,,3,3.0,1.0
384,7,2011-09-05 00:00:00,2011-09-05 09:00:00,,14,12.0,1.0
460,7,2011-11-09 00:00:00,2011-11-09 08:50:00,,34,4.0,1.0
472,7,2011-11-15 00:00:00,2011-11-15 10:30:00,Nessuno,36,5.0,2.0
508,7,2012-01-25 00:00:00,2012-01-25 15:02:00,,3,3.0,1.0
538,7,2012-02-10 00:00:00,2012-02-10 08:09:00,,48,11.0,1.0
593,7,2012-04-18 00:00:00,2012-04-18 07:23:00,,7,6.0,1.0
624,7,2012-05-01 00:00:00,2012-05-01 07:15:00,Decollo abortito,11,13.0,1.0
659,7,2012-05-24 00:00:00,2012-05-24 20:28:00,Nessuno,34,4.0,1.0
665,7,2012-05-28 11:21:37,2012-05-28 11:21:37,,14,12.0,1.0
699,7,2012-06-08 00:00:00,2012-06-08 20:30:00,,13,12.0,1.0
765,7,2012-07-08 12:29:55,2012-07-08 12:29:55,,7,6.0,1.0
784,7,2012-07-14 11:04:39,2012-07-14 11:04:39,,14,12.0,1.0
845,7,2012-07-29 19:18:14,2012-07-29 19:18:14,,14,12.0,1.0
852,7,2012-07-16 00:00:00,2012-07-16 19:15:00,,7,6.0,1.0
