,id_aeroporto,data,data_,effettoSulVolo,id_specie_volatile,id_gruppo,coinvolti,parti_colpite
0,7,2011-02-16 00:00:00,2011-02-16 12:00:00,Nessuno,38,8.0,1.0,
1,7,2011-03-11 00:00:00,2011-03-11 07:00:00,Nessuno,476,9.0,1.0,
2,7,2011-03-23 00:00:00,2011-03-22 21:55:00,,1,4.0,1.0,
3,7,2011-03-30 00:00:00,2011-03-30 09:30:00,,21,2.0,1.0,
4,7,2011-05-21 00:00:00,2011-05-21 18:30:00,,14,12.0,1.0,
5,7,2011-05-25 00:00:00,2011-05-25 13:05:00,,13,12.0,1.0,
6,7,2011-06-04 00:00:00,2011-06-04 05:45:00,,13,12.0,1.0,
7,7,2011-06-05 00:00:00,2011-06-05 12:00:00,,13,12.0,1.0,
8,7,2011-06-11 00:00:00,2011-06-11 06:10:00,,13,12.0,1.0,
9,7,2011-06-19 00:00:00,2011-06-19 06:00:00,,715,14.0,1.0,
10,7,2011-06-28 00:00:00,2011-06-28 19:40:00,,7,6.0,1.0,
11,7,2011-07-09 00:00:00,2011-07-09 09:30:00,,4,3.0,1.0,
13,7,2011-07-11 00:00:00,2011-07-11 08:20:00,Nessuno,14,12.0,1.0,
14,7,2011-07-20 00:00:00,2011-07-20 19:00:00,,7,6.0,1.0,
16,7,2011-07-30 00:00:00,2011-07-30 18:45:00,,3,3.0,3.0,
17,7,2011-08-03 00:00:00,2011-08-03 15:15:00,,7,6.0,1.0,
18,7,2011-08-05 00:00:00,2011-08-04 22:20:00,Nessuno,12,11.0,1.0,
19,7,2011-08-07 00:00:00,2011-08-07 06:05:00,,1444,16.0,1.0,
20,7,2011-08-13 00:00:00,2011-08-13 06:15:00,,3,3.0,1.0,
21,7,2011-09-05 00:00:00,2011-09-05 09:00:00,,14,12.0,1.0,
22,7,2011-11-09 00:00:00,2011-11-09 08:50:00,,34,4.0,1.0,
23,7,2011-11-15 00:00:00,2011-11-15 10:30:00,Nessuno,36,5.0,2.0,
24,7,2012-01-25 00:00:00,2012-01-25 15:02:00,,3,3.0,1.0,
25,7,2012-02-10 00:00:00,2012-02-10 08:09:00,,48,11.0,1.0,
26,7,2012-04-18 00:00:00,2012-04-18 07:23:00,,7,6.0,1.0,
27,7,2012-05-01 00:00:00,2012-05-01 07:15:00,Decollo abortito,11,13.0,1.0,
28,7,2012-05-24 00:00:00,2012-05-24 20:28:00,Nessuno,34,4.0,1.0,
29,7,2012-05-28 11:21:37,2012-05-28 11:21:37,,14,12.0,1.0,
30,7,2012-06-08 00:00:00,2012-06-08 20:30:00,,13,12.0,1.0,
31,7,2012-07-08 12:29:55,2012-07-08 12:29:55,,7,6.0,1.0,
32,7,2012-07-14 11:04:39,2012-07-14 11:04:39,,14,12.0,1.0,
33,7,2012-07-29 19:18:14,2012-07-29 19:18:14,,14,12.0,1.0,
34,7,2012-07-16 00:00:00,2012-07-16 19:15:00,,7,6.0,1.0,
35,7,2012-08-03 00:00:00,2012-08-03 19:36:00,,16,15.0,1.0,
36,7,2012-08-04 00:00:00,2012-08-04 14:25:00,,4,3.0,1.0,
37,7,2012-08-04 18:35:42,2012-08-04 18:35:42,,7,6.0,1.0,
38,7,2012-08-09 10:32:03,2012-08-09 10:32:03,,14,12.0,1.0,
39,7,2012-08-10 13:38:47,2012-08-10 13:38:47,,14,12.0,1.0,
40,7,2012-08-10 18:40:09,2012-08-10 18:40:09,,14,12.0,1.0,
41,7,2012-08-23 00:00:00,2012-08-23 10:30:00,Nessuno,14,12.0,1.0,
42,7,2012-08-25 18:44:29,2012-08-25 18:44:29,,14,12.0,1.0,
43,7,2012-08-29 07:54:35,2012-08-29 07:54:35,,7,6.0,1.0,
44,7,2012-08-30 10:07:46,2012-08-30 10:07:46,,14,12.0,1.0,
45,7,2012-09-01 08:59:38,2012-09-01 08:59:38,,14,12.0,1.0,
46,7,2012-09-02 00:00:00,2012-09-02 14:33:00,,14,12.0,1.0,
47,7,2012-09-03 00:00:00,2012-09-03 06:10:00,,31,17.0,1.0,
48,7,2012-09-04 00:00:00,2012-09-04 10:50:00,Nessuno,14,12.0,1.0,
49,7,2012-09-10 00:00:00,2012-09-10 16:30:00,,1440,10.0,1.0,
50,7,2012-09-17 00:00:00,2012-09-17 15:02:00,,7,6.0,1.0,
51,7,2012-09-26 11:35:01,2012-09-26 11:35:01,,7,6.0,1.0,
52,7,2012-09-27 00:00:00,2012-09-27 16:30:00,,2,7.0,1.0,
53,7,2012-09-28 00:00:00,2012-09-28 17:19:00,Nessuno,2,7.0,5.0,
54,7,2012-10-27 00:00:00,2012-10-27 10:34:00,Nessuno,38,8.0,1.0,
55,7,2012-11-28 00:00:00,2012-11-28 10:26:00,Nessuno,38,8.0,1.0,
56,7,2012-12-15 00:00:00,2012-12-15 09:45:00,Nessuno,38,8.0,2.0,
57,7,2012-02-27 00:00:00,2012-02-27 17:15:00,,443,15.0,1.0,
58,7,2012-04-20 00:00:00,2012-04-20 13:15:00,,7,6.0,1.0,
59,7,2013-01-23 00:00:00,2013-01-23 16:13:00,,1440,10.0,1.0,
60,7,2013-04-06 00:00:00,2013-04-06 13:40:00,,7,6.0,1.0,
61,7,2013-04-17 00:00:00,2013-04-17 17:20:00,,13,12.0,1.0,
62,7,2013-04-22 00:00:00,2013-04-22 19:00:00,,13,12.0,1.0,
63,7,2013-04-27 00:00:00,2013-04-27 09:15:00,,15,15.0,1.0,
64,7,2013-05-08 14:43:08,2013-05-08 14:43:08,,14,12.0,1.0,
65,7,2013-06-01 00:00:00,2013-06-01 19:33:00,,13,12.0,2.0,
66,7,2013-06-03 00:00:00,2013-06-03 17:28:00,,13,12.0,1.0,
67,7,2013-07-13 15:01:12,2013-07-13 15:01:12,,7,6.0,1.0,
68,7,2013-07-14 14:53:12,2013-07-14 14:53:12,,7,6.0,1.0,
69,7,2013-07-21 16:31:04,2013-07-21 16:31:04,,7,6.0,1.0,
70,7,2013-07-22 09:17:14,2013-07-22 09:17:14,,7,6.0,1.0,
71,7,2013-07-22 00:00:00,2013-07-22 19:13:00,Nessuno,14,12.0,1.0,
72,7,2013-07-27 17:47:12,2013-07-27 17:47:12,,7,6.0,1.0,
