,id_aeroporto,mese,anno,impattiTotali,impattiConDanni,conEffettiSulVolo,numeroMovimenti
204,7,GENNAIO,2011,0.0,0.0,0.0,3406.0
205,7,FEBBRAIO,2011,1.0,0.0,0.0,3215.0
206,7,MARZO,2011,3.0,0.0,0.0,4176.0
207,7,APRILE,2011,1.0,0.0,0.0,5013.0
208,7,MAGGIO,2011,2.0,0.0,0.0,4654.0
209,7,GIUGNO,2011,5.0,0.0,0.0,4700.0
210,7,LUGLIO,2011,7.0,0.0,0.0,5549.0
211,7,AGOSTO,2011,4.0,0.0,0.0,5427.0
212,7,SETTEMBRE,2011,3.0,0.0,0.0,4941.0
213,7,OTTOBRE,2011,1.0,0.0,0.0,4903.0
214,7,NOVEMBRE,2011,2.0,0.0,0.0,3162.0
215,7,DICEMBRE,2011,0.0,0.0,0.0,3115.0
492,7,GENNAIO,2012,1.0,0.0,0.0,3346.0
493,7,FEBBRAIO,2012,2.0,0.0,0.0,3224.0
494,7,MARZO,2012,0.0,0.0,0.0,4194.0
495,7,APRILE,2012,5.0,0.0,0.0,4320.0
496,7,MAGGIO,2012,3.0,0.0,0.0,4872.0
497,7,GIUGNO,2012,1.0,0.0,0.0,5405.0
498,7,LUGLIO,2012,4.0,0.0,0.0,5738.0
499,7,AGOSTO,2012,10.0,0.0,0.0,5499.0
500,7,SETTEMBRE,2012,11.0,0.0,0.0,4736.0
501,7,OTTOBRE,2012,3.0,0.0,0.0,4773.0
502,7,NOVEMBRE,2012,2.0,0.0,0.0,3356.0
503,7,DICEMBRE,2012,1.0,0.0,0.0,3176.0
1068,7,GENNAIO,2013,1.0,0.0,0.0,3393.0
1069,7,FEBBRAIO,2013,0.0,0.0,0.0,3089.0
1070,7,MARZO,2013,1.0,0.0,0.0,2494.0
1071,7,APRILE,2013,5.0,0.0,0.0,4390.0
1072,7,MAGGIO,2013,1.0,0.0,0.0,4845.0
1073,7,GIUGNO,2013,2.0,0.0,0.0,4903.0
1074,7,LUGLIO,2013,6.0,0.0,0.0,5722.0
1075,7,AGOSTO,2013,8.0,0.0,0.0,5800.0
1076,7,SETTEMBRE,2013,7.0,0.0,1.0,4832.0
1077,7,OTTOBRE,2013,3.0,0.0,0.0,4736.0
1078,7,NOVEMBRE,2013,0.0,0.0,0.0,3046.0
1079,7,DICEMBRE,2013,0.0,0.0,0.0,3171.0
1308,7,GENNAIO,2014,2.0,0.0,0.0,3069.0
1309,7,FEBBRAIO,2014,0.0,0.0,0.0,2981.0
1310,7,MARZO,2014,0.0,0.0,0.0,3351.0
1311,7,APRILE,2014,2.0,0.0,0.0,3350.0
1312,7,MAGGIO,2014,5.0,0.0,0.0,5007.0
1313,7,GIUGNO,2014,2.0,0.0,0.0,5252.0
1314,7,LUGLIO,2014,5.0,0.0,0.0,5971.0
1315,7,AGOSTO,2014,2.0,0.0,0.0,5827.0
1316,7,SETTEMBRE,2014,6.0,0.0,0.0,4759.0
1317,7,OTTOBRE,2014,1.0,0.0,0.0,4600.0
1318,7,NOVEMBRE,2014,2.0,1.0,1.0,3353.0
1319,7,DICEMBRE,2014,2.0,0.0,1.0,3220.0
1716,7,GENNAIO,2015,4.0,0.0,0.0,3090.0
1717,7,FEBBRAIO,2015,4.0,0.0,0.0,2925.0
1718,7,MARZO,2015,3.0,0.0,0.0,2344.0
1719,7,APRILE,2015,1.0,0.0,0.0,4178.0
1720,7,MAGGIO,2015,1.0,0.0,0.0,4512.0
1721,7,GIUGNO,2015,5.0,0.0,0.0,4819.0
1722,7,LUGLIO,2015,5.0,0.0,0.0,4642.0
1723,7,AGOSTO,2015,4.0,0.0,0.0,5782.0
1724,7,SETTEMBRE,2015,4.0,0.0,0.0,3885.0
1725,7,OTTOBRE,2015,4.0,0.0,0.0,3374.0
1726,7,NOVEMBRE,2015,0.0,0.0,0.0,2437.0
1727,7,DICEMBRE,2015,4.0,0.0,0.0,2389.0
2316,7,GENNAIO,2016,1.0,0.0,0.0,3354.0
2317,7,FEBBRAIO,2016,0.0,0.0,0.0,2248.0
2318,7,MARZO,2016,1.0,0.0,0.0,2688.0
2319,7,APRILE,2016,1.0,0.0,0.0,3304.0
2320,7,MAGGIO,2016,2.0,1.0,0.0,3933.0
2321,7,GIUGNO,2016,1.0,0.0,0.0,4053.0
