,id_aeroporto,data,causaIspezione,causaIspezioneAltro
67,7,2011-01-02,Ispezione normale o programmata,
94,7,2011-01-03,Ispezione normale o programmata,
208,7,2011-01-04,Ispezione normale o programmata,
292,7,2011-01-05,Ispezione normale o programmata,
311,7,2011-01-06,Ispezione normale o programmata,
377,7,2011-01-07,Ispezione normale o programmata,
538,7,2011-01-09,Ispezione normale o programmata,
539,7,2011-01-08,Ispezione normale o programmata,
602,7,2011-01-10,Ispezione normale o programmata,
700,7,2011-01-11,Ispezione normale o programmata,
773,7,2011-01-12,Richiesta da Torre / Capo scalo / Duty manager,
774,7,2011-01-12,Ispezione normale o programmata,
856,7,2011-01-13,Ispezione normale o programmata,
931,7,2011-01-14,Ispezione normale o programmata,
989,7,2011-01-15,Ispezione normale o programmata,
1033,7,2011-01-16,Ispezione normale o programmata,
1150,7,2011-01-17,Ispezione normale o programmata,
1194,7,2011-01-18,Ispezione normale o programmata,
1270,7,2011-01-19,Ispezione normale o programmata,
1356,7,2011-01-20,Ispezione normale o programmata,
1453,7,2011-01-21,Ispezione normale o programmata,
1487,7,2011-01-22,Ispezione normale o programmata,
1549,7,2011-01-23,Ispezione normale o programmata,
1613,7,2011-01-24,Ispezione normale o programmata,
1674,7,2011-01-25,Ispezione normale o programmata,
1751,7,2011-01-26,Ispezione normale o programmata,
1951,7,2011-01-27,Ispezione normale o programmata,
2060,7,2011-01-28,Ispezione normale o programmata,
2105,7,2011-01-29,Ispezione normale o programmata,
2143,7,2011-01-30,Ispezione normale o programmata,
2224,7,2011-01-31,Ispezione normale o programmata,
2303,7,2011-02-01,Ispezione normale o programmata,
2422,7,2011-02-02,Ispezione normale o programmata,
2462,7,2011-02-03,Ispezione normale o programmata,
2601,7,2011-02-04,Ispezione normale o programmata,
2677,7,2011-02-05,Ispezione normale o programmata,
2728,7,2011-02-06,Ispezione normale o programmata,
2810,7,2011-02-07,Ispezione normale o programmata,
2869,7,2011-02-08,Ispezione normale o programmata,
3583,7,2011-02-09,Ispezione normale o programmata,
3638,7,2011-02-10,Ispezione normale o programmata,
3710,7,2011-02-11,Ispezione normale o programmata,
3766,7,2011-02-12,Ispezione normale o programmata,
3840,7,2011-02-13,Ispezione normale o programmata,
3926,7,2011-02-14,Ispezione normale o programmata,
4006,7,2011-02-15,Ispezione normale o programmata,
4085,7,2011-02-16,Ispezione normale o programmata,
4160,7,2011-02-17,Ispezione normale o programmata,
4161,7,2011-02-17,Ispezione normale o programmata,
4246,7,2011-02-18,Ispezione normale o programmata,
4280,7,2011-02-19,Ispezione normale o programmata,
4349,7,2011-02-20,Ispezione normale o programmata,
4464,7,2011-02-21,Ispezione normale o programmata,
4572,7,2011-02-22,Ispezione normale o programmata,
4642,7,2011-02-23,Ispezione normale o programmata,
4721,7,2011-02-24,Ispezione normale o programmata,
4783,7,2011-02-25,Ispezione normale o programmata,
4860,7,2011-02-26,Ispezione normale o programmata,
4950,7,2011-02-27,Ispezione normale o programmata,
5027,7,2011-02-28,Ispezione normale o programmata,
5128,7,2011-03-01,Ispezione normale o programmata,
5201,7,2011-03-02,Ispezione normale o programmata,
5276,7,2011-03-03,Ispezione normale o programmata,
5349,7,2011-03-04,Ispezione normale o programmata,
5417,7,2011-03-05,Ispezione normale o programmata,
5484,7,2011-03-06,Ispezione normale o programmata,
5567,7,2011-03-07,Ispezione normale o programmata,
5846,7,2011-03-08,Ispezione normale o programmata,
5936,7,2011-03-09,Ispezione normale o programmata,
6018,7,2011-03-10,Ispezione normale o programmata,
6081,7,2011-03-11,Impatto dichiarato da torre,
6082,7,2011-03-11,Ispezione normale o programmata,
6137,7,2011-03-12,Ispezione normale o programmata,
6218,7,2011-03-13,Ispezione normale o programmata,
6899,7,2011-03-14,Ispezione normale o programmata,
6988,7,2011-03-15,Ispezione normale o programmata,
7056,7,2011-03-16,Ispezione normale o programmata,
7120,7,2011-03-17,Ispezione normale o programmata,
7204,7,2011-03-18,Ispezione normale o programmata,
7340,7,2011-03-19,Ispezione normale o programmata,
7341,7,2011-03-20,Ispezione normale o programmata,
7396,7,2011-03-21,Ispezione normale o programmata,
7498,7,2011-03-22,Ispezione normale o programmata,
7580,7,2011-03-23,Ispezione normale o programmata,
7669,7,2011-03-24,Ispezione normale o programmata,
7725,7,2011-03-25,Ispezione normale o programmata,
7788,7,2011-03-26,Ispezione normale o programmata,
7863,7,2011-03-27,Ispezione normale o programmata,
7945,7,2011-03-28,Ispezione normale o programmata,
8172,7,2011-03-29,Ispezione normale o programmata,
8230,7,2011-03-30,Impatto dichiarato da torre,
8232,7,2011-03-30,Ispezione normale o programmata,
8321,7,2011-03-31,Ispezione normale o programmata,
8421,7,2011-04-01,Ispezione normale o programmata,
8493,7,2011-04-02,Ispezione normale o programmata,
8567,7,2011-04-03,Ispezione normale o programmata,
8641,7,2011-04-04,Ispezione normale o programmata,
8730,7,2011-04-05,Ispezione normale o programmata,
8813,7,2011-04-06,Ispezione normale o programmata,
8875,7,2011-04-07,Ispezione normale o programmata,
8964,7,2011-04-08,Ispezione normale o programmata,
9035,7,2011-04-09,Ispezione normale o programmata,
9090,7,2011-04-10,Ispezione normale o programmata,
9158,7,2011-04-11,Ispezione normale o programmata,
9253,7,2011-04-12,Ispezione normale o programmata,
9314,7,2011-04-13,Ispezione normale o programmata,
9404,7,2011-04-14,Ispezione normale o programmata,
9500,7,2011-04-15,Ispezione normale o programmata,
9553,7,2011-04-16,Ispezione normale o programmata,
9625,7,2011-04-17,Ispezione normale o programmata,
9749,7,2011-04-18,Ispezione normale o programmata,
9828,7,2011-04-19,Ispezione normale o programmata,
9924,7,2011-04-20,Ispezione normale o programmata,
10005,7,2011-04-21,Ispezione normale o programmata,
10104,7,2011-04-22,Ispezione normale o programmata,
10171,7,2011-04-23,Ispezione normale o programmata,
